,name,type,details,ownership_status,app_type,private_public,agency,Respondent Full Name,app_details
1,AGOL -  ArcGIS Online,ots,"AGOL is an online information sharing, web application development and analysis, and data repository for individual, group and enterprise data that can be shared internally or publicly.  The Forest Service uses this platform for multiple data formats and web applications, shared across the organization and partnerships, as well as with the public.  

Website definition:  ArcGIS Online enables you to connect people, locations, and data by using interactive maps. Work with smart, data-driven styles and intuitive analysis tools that deliver location intelligence. Share your insights with the world or specific groups.",commercial,webapp,hybrid,FS,Reid_Shawna,NA
2,ArcGIS Pro,ots,"ArcGIS Pro is a powerful single desktop GIS application, is a feature-packed software developed with enhancements and ideas from the ArcGIS Pro user community. ArcGIS Pro supports data visualization; advanced analysis; and authoritative data maintenance in 2D, 3D, and 4D. It supports data sharing across a suite of ArcGIS products such as ArcGIS Online and ArcGIS Enterprise, and enables users to work across the ArcGIS system through Web GIS.",commercial,desktop,hybrid,FS,Reid_Shawna,NA
3,ArcGIS Desktop,ots,"ArcGIS Desktop is a foundational piece for GIS professionals to create, analyze, manage, and share geographic information so decision-makers can make intelligent, informed decisions. It allows you to create maps, perform spatial analysis, and manage data. You can import multiple data formats and use powerful analytical tools and workflows to identify spatial patterns, trends, and non-obvious relationships.",commercial,desktop,hybrid,FS,Reid_Shawna,NA
4,ERDAS Imagine,ots,"ERDAS IMAGINE is easy-to-use, raster-based software designed specifically to extract information from images. 
Imagery and LiDAR are the primary sources of data for mapping and managing features or resources.  For organizations with extensive collections of geospatial data, ERDAS IMAGINE supports enterprise-enabled geospatial image processing that utilizes a centralized relational database to store geospatial information.
ERDAS IMAGINE is the most powerful package for derived information (data production), supporting multiple workflows, including:

• Data conversion

• Orthorectification

• Color balancing, mosaicking, and compression

• Land-cover mapping and terrain categorization

• LiDAR editing and classification

• Map and report generation and printing through the map composer, PowerPoint®, or Word

• Feature capture and update

• Spatial modeling and analysis

• Terrain creation, editing, and analysis",commercial,desktop,hybrid,FS,Reid_Shawna,NA
5,SyncroSim,ots,Spatially explicity state and transition modelling platform.  I use it for vegetation simulations.,freeware,desktop,public,FS,Anderson_David,NA
6,DSSAT Cropping System Model,ots,"Comprehensive suite of crop growth modeling software

https://github.com/DSSAT/dssat-csm-os",opensource,desktop,public,ARS,Thorp_Kelly,NA
7,QGIS,ots,"Open-source GIS software

https://qgis.org/en/site/",opensource,desktop,public,ARS,Thorp_Kelly,NA
8,Microsoft Applications,ots,"Use word, excel, teams programs.",owned,desktop,private,AMS,Smit_Tiffany,NA
9,R,ots,R statistical package for analyzing datasets,opensource,desktop,public,ARS,Winzeler_Edwin,NA
10,Arc Map Pro,ots,GADAS,owned,dashboard,public,FAS,McWilliams_Denise,NA
11,ArcGIS Online,ots,"https://ruraldevelopment.maps.arcgis.com/home/index.html
",commercial,webapp,hybrid,RD,Cherniss_Jerad,NA
12,ArcGIS,ots,Geographical Information System,commercial,desktop,private,ARS,Langendoen_Eddy,NA
13,QGis,ots,Geographical Information Sytem,opensource,desktop,private,ARS,Langendoen_Eddy,NA
14,OnX App,ots,"a mobile app that shows ownership names.  We have purchased a license for Idaho, but they have coverage for the whole US.  https://www.onxmaps.com/",commercial,input,private,NRCS,Buehler_Eric,NA
15,Avenza Maps App,ots,"Mobile app for data collection which allows users to create their own pdf maps and then use them in the app.  Great for NRCS planners and field workers.
https://www.avenzamaps.com/",commercial,input,private,NRCS,Buehler_Eric,NA
16,Esri software,ots,"Many different Esri products for mapping potentially mobile data collection.
https://www.esri.com/",commercial,desktop,private,NRCS,Buehler_Eric,NA
17,R,ots,r-project.org,opensource,desktop,public,ARS,Goslee_Sarah,NA
18,GRASS GIS,ots,GIS software https://grass.osgeo.org/,opensource,desktop,public,ARS,Goslee_Sarah,NA
19,postgreSQL,ots,https://www.postgresql.org/ relational database,opensource,networked,public,ARS,Goslee_Sarah,NA
20,Arc GIS Online (AGOL),ots,https://usfs.maps.arcgis.com/,owned,webapp,public,FS,Shipley_Doug,NA
21,Spatial analysis software,ots,ESRI Arc GIS,commercial,desktop,private,ARS,Owens_Phillip,NA
22,Microsoft Excel for Windows 10,ots,Database spreadsheet software,commercial,desktop,private,ARS,Moran_Patrick,NA
23,SAS/STAT,ots,Statistical software,commercial,desktop,private,ARS,Moran_Patrick,NA
24,Citrix Workspace,ots,Virtual desktop application.,commercial,desktop,private,FPAC,Blankley_Brent,NA
25,ESRI ArcGIS Pro,ots,GIS Software,commercial,desktop,public,FPAC,Blankley_Brent,NA
26,IrfanView,ots,Imagery viewer software.,opensource,desktop,public,FPAC,Blankley_Brent,NA
27,Google Earth Pro,ots,Imagery viewing software.,commercial,desktop,public,FPAC,Blankley_Brent,NA
28,Box,ots,File transfer application that is used to transfer aerial imagery to customers.,commercial,desktop,hybrid,FPAC,Blankley_Brent,NA
29,Google Earth Engine,ots,"Google Earth Engine is a spatial data aggregation system that allows access and analysis of a variety of publicly available satellite and spatial data. It provides an API that facilitates the development of application and analyses using Python or JavaScript programming languages. https://earthengine.google.com/
While many features of GEE are freely available to users, some are only limited to paying customers.",commercial,webapp,public,ARS,Nouwakpo_Kossi,NA
30,Google Earth,ots,Used to determine areas of interest,opensource,desktop,public,ARS,Anderson_William,NA
31,SAS,ots,analyze data,commercial,desktop,private,ARS,adamczyk_John,NA
32,Agricultural models,ots,Agricultural models estimate items of interest such as nitrate loss in runoff or crop production based on user input such as weather and field operations.,opensource,desktop,public,ARS,Malone_Robert,NA
33,PC,ots,Microsoft Excel,commercial,desktop,private,ARS,Shackelford_Steven,NA
34,APEX,ots,"This is an agricultural system model developed by Texas A&M University at Temple, Texas. It is open source. https://epicapex.tamu.edu/",shared,desktop,public,ARS,Ma_Liwang,NA
35,softwares/programs,ots,Softwares such as Qiime,opensource,desktop,public,ARS,Proszkowiec-Weglarz_Monika,NA
36,software,ots,Galaxy,opensource,webapp,public,ARS,Proszkowiec-Weglarz_Monika,NA
37,softwares,ots,"SAS, Microsoft office, EndNote, CLC workbench",commercial,desktop,public,ARS,Proszkowiec-Weglarz_Monika,NA
38,program,ots,R studio,opensource,desktop,public,ARS,Proszkowiec-Weglarz_Monika,NA
39,SAS,ots,Statistical analyses,commercial,desktop,private,ARS,Polley_Wayne,NA
40,ArcMap,ots,Used for geospatial processing of remote sensing signals,commercial,desktop,private,ARS,Polley_Wayne,NA
41,Microsoft Excel,ots,"Data spreadsheet program used to store, organize, and analyze data sets.",commercial,desktop,public,ARS,Tarkalson_David,NA
42,Microsoft Office,ots,"Standard office software, data entry, database, statistics, publishable materials",commercial,desktop,private,ARS,Hapeman_Cathleen,NA
43,SigmaPlot,ots,"used to process data, provide publishable figures, conduct statistics 
",commercial,desktop,private,ARS,Hapeman_Cathleen,NA
44,GraphPad,ots,"used to process data, provide publishable figures, conduct statistics 
https://www.graphpad.com/",commercial,desktop,private,ARS,Hapeman_Cathleen,NA
45,Chemwindows,ots,"drawing chemical structures, chemical calculations, energy minimization estimates, etc.
https://sciencesolutions.wiley.com/chemwindow-chemical-structure-drawing-software/",commercial,desktop,private,ARS,Hapeman_Cathleen,NA
46,MatLab,ots,"calculations, programming",commercial,desktop,private,ARS,Hapeman_Cathleen,NA
47,Waters MassLynx Software,ots,"Runs instruments, acquires and analyzes data, outputs data to applications, provides reports
https://www.waters.com/waters/en_US/MassLynx-Mass-Spectrometry-Software-/nav.htm?cid=513164&locale=en_US
",commercial,input,private,ARS,Hapeman_Cathleen,NA
48,Agilent MassHunter Software,ots,"Runs instruments, acquires and analyzes data, outputs data to applications, provides reports
https://www.agilent.com/en/product/software-informatics/mass-spectrometry-software
",commercial,input,private,ARS,Hapeman_Cathleen,NA
49,SAS,ots,Statistical analysis.,owned,desktop,private,ARS,Burkey_Kent,NA
50,R,ots,Programming language,opensource,desktop,public,ARS,Clark_Patrick,NA
51,SAS,ots,Statistical analysis software,commercial,desktop,private,ARS,Clark_Patrick,NA
52,ArcGIS Pro,ots,https://pro.arcgis.com/en/pro-app/2.8/get-started/get-started.htm,commercial,desktop,private,ARS,Clark_Patrick,NA
53,Google Earth Pro,ots,https://www.google.com/earth/versions/,freeware,desktop,hybrid,ARS,Clark_Patrick,NA
54,MS Teams,ots,Meeting and project coordination software,commercial,desktop,private,ARS,Clark_Patrick,NA
55,Microsoft Excel,ots,"Data storage, organization and analysis",commercial,desktop,public,ARS,Tarkalson_David,NA
56,ESRI ArcGIS,ots,Geographic spatial data storage and analysis,commercial,desktop,public,ARS,Tarkalson_David,NA
57,Statistix,ots,Statistical data analysis.,commercial,desktop,public,ARS,Tarkalson_David,NA
58,Sigma Plot,ots,Data graphics and statistical analysis,commercial,desktop,public,ARS,Tarkalson_David,NA
59,ArcGIS Pro,ots,"GIS tool for producing, manipulating, and analyzing spatial data including points, polygons, vectors, and imagery. Used in countless tasks during my everyday work.",commercial,desktop,hybrid,ARS,Messinger_Lindsey,NA
60,ArcGIS Online,ots,"Used to administer and produce data collection tools (Survey123), dashboards (Operations Dashboard, Insights, Experience), and informational products (StoryMaps).",commercial,webapp,hybrid,ARS,Messinger_Lindsey,NA
61,Program R,ots,Used for data cleaning and manipulation and analysis,opensource,desktop,public,ARS,Messinger_Lindsey,NA
62,DNAStar Software Suite,ots,"A commercial software package for Assembly and analysis of nucleotide sequence data. In addition to de novo assemblies, gene expression also can be profiled.",commercial,desktop,private,ARS,Perera_Omaththage,NA
63,Blast Station 64 Local,ots,Blast Station 64 is a software package for creating custom local databases of nucleotide sequences for BLAST searching.  This search tool facilitates custom searches of large number of queries without having to utilize public databases such as NCBI. https://www.blaststation.com/intl/en/local64.php,private,desktop,private,ARS,Perera_Omaththage,NA
64,CLC Genome workbench,ots,Commercially available software package for nucleotide data analysis.,commercial,desktop,private,ARS,Perera_Omaththage,NA
65,OmixBox,ots,Software package for annotation of nucleotide sequences using public databases.,private,desktop,private,ARS,Perera_Omaththage,NA
66,"Google Earth, Sentinel Explorer",ots,My technician looks for satellite images that help us see how uniform different areas of a field is. That and handheld GPS for re-locating field sites is about all we do with geospatial stuff. My guess is that you are not interested in what we do.,freeware,webapp,public,ARS,Wuest_Stewart,NA
67,Survey 123,ots,We use Survey 123 as a regular tool in coordinating and implementing science and research management.,commercial,webapp,hybrid,ARS,Kleinman_Peter,NA
68,DAYCENT,ots,"ARS and Colorado State University maintain DAYCENT as a means of estimating greenhouse gas emissions as part of a national inventory they perform. The model is used widely by others, but this team is regularly turned to in order to provide comprehensive updates on the outcomes of practice and policy changes.

https://www2.nrel.colostate.edu/projects/daycent/

Dr. Steven DelGrosso would be the USDA Point of Contact.",freeware,desktop,public,ARS,Kleinman_Peter,NA
69,Dashboard and tools for data visualization,ots,"ESRI based dashboards for displaying and assessing datasets. These are widely varied and developed by our PDI team. Some of these are related to ARS program management or facilities management, others are related to field data collected at ARS or collaborator locations.",opensource,dashboard,hybrid,ARS,Eve_Marlen,NA
70,Microsoft Office Package,ots,"Word program for writing, 
Excel program for calculation and data processing, 
PowerPoint program for presentations, 
Microsoft Outlook program for e-mail,
Microsoft Teams program for meeting and text.",commercial,desktop,private,ARS,Mikha_Maysoon,NA
71,SAS,ots,Statistical analysis for the research data,commercial,desktop,private,ARS,Mikha_Maysoon,NA
72,Sigma Plot,ots,Graphic software and statistical analysis for the research data,commercial,desktop,private,ARS,Mikha_Maysoon,NA
73,Adobe Acrobat,ots,Official documents,commercial,desktop,private,ARS,Mikha_Maysoon,NA
74,Google Chrome,ots,"Search engine for research information, publications, societies web pages, and training.",opensource,networked,public,ARS,Mikha_Maysoon,NA
75,Microsoft Edge,ots,"Search engine for research information, publications, and societies & Journals web pages.",opensource,networked,public,ARS,Mikha_Maysoon,NA
76,R-Studio,ots,"Statistical analysis for the research data.  I start using it recently for data analysis.  

https://www.rstudio.com/products/rstudio/download/",opensource,networked,public,ARS,Mikha_Maysoon,NA
77,MATLAB,ots,https://www.mathworks.com/products/matlab.html,commercial,desktop,public,ARS,Colaizzi_Paul,NA
78,Ag Sense,ots,https://www.agsense.com/,commercial,webapp,public,ARS,Colaizzi_Paul,NA
79,ArcGIS,ots,GIS software used to located wetlands utilized in grant.,commercial,webapp,public,ARS,Osborne_Shannon,NA
80,Geneious Software,ots,Geneious is a suite of molecular biology tools including genomes assemblies and analyses.,commercial,desktop,private,ARS,Clawson_Michael,NA
81,EDGAR,ots,Website with a suite of bioinformatic applications for genome analysis.,private,webapp,hybrid,ARS,Clawson_Michael,NA
82,MacVector,ots,Suite of programs for bioinformatic analysis of molecular data,commercial,desktop,private,ARS,Clawson_Michael,NA
83,"Microsoft Office Excel, Powerpoint, Word, Publisher, Outlook",ots,"We use all the MS Office products to create digital content, including PDF files of documents, drawings, etc., We use Excel to manage field data, and we have developed algorithms in Excel to develop secondary data products, particularly with regard to soil water content, change in soil water content, calibration of instruments, evapotranspiration of crops (crop water use), energy and water balances of crops and fallow soils.",commercial,desktop,public,ARS,Evett_Steven,NA
84,Techware Logbook,ots,Laboratory Information Management System for fiber and yarn testing data,commercial,networked,private,ARS,Delhom_Chris,NA
85,FileMarker Pro,ots,Software is use to maintain our database. Software allows us to link different data streams in a relational database.,owned,desktop,private,ARS,Trabue_Steven,NA
86,"Programming languages: Python, Fortran, R, Matlab, CRBasic",ots,Programs for the flexible manipulation and analysis of data.,commercial,desktop,private,ARS,Heilman_Philip,NA
87,GIS tools,ots,"ESRI GIS tools, Google Earth Engine, Terrestrial lidar tools",commercial,desktop,private,ARS,Heilman_Philip,NA
88,Unit Website,ots,"ars.usda.gov/pacific-west-area/tucson-az/southwest-watershed-research-center/

Also contains some custom-built pages.",owned,webapp,public,ARS,Heilman_Philip,NA
89,SAS,ots,statistical analysis software,commercial,desktop,private,ARS,Holt_Greg,NA
90,R and R-Studio Software,ots,"The R-Project for statistical computing and R-studio IDE.
https://www.r-project.org/
https://www.rstudio.com/",opensource,desktop,public,ARS,Humphreys_John,NA
91,HPCs (ARS Atlas and Ceres Clusters),ots,ARS HPC resources.,owned,networked,private,ARS,Humphreys_John,NA
92,Google Earth Engine,ots,Google Earth Engine used for access and download of geospatial data: https://earthengine.google.com/,opensource,webapp,public,ARS,Humphreys_John,NA
93,ArcGIS Pro,ots,Geographical Information System software,owned,webapp,private,ARS,Conley_Matthew,NA
94,Agisoft Metashape Pro,ots,Structure from motion photogrammetric software,commercial,desktop,private,ARS,Conley_Matthew,NA
95,ArcGIS,ots,We use ArcGIS to find locations of research plots and weed infestations in aquatic sites.,owned,desktop,private,ARS,Madsen_John,NA
96,Lakes Environmental AERMOD View,ots,Dispersion Modeling Front End for EPA AERMOD,commercial,desktop,private,ARS,Whitelock_Derek,NA
97,GeoData,ots,"GeoData (https://geodata.nal.usda.gov) is currently a pilot geospatial data catalog at the National Agricultural Library, it's based on an open-source geospatial data catalog system. The catalog is fully compliant with the ISO 19115 standards, so the metadata created or managed by GeoData can also be managed by any ISO 19115-based catalog.",opensource,webapp,public,ARS,Zhou_Zhuoyue,NA
98,Tableau & Dashboard,ots,Tableau/Dashboards,commercial,dashboard,hybrid,ARS,Veal_Pamela,NA
99,Qiime2,ots,"https://qiime2.org/

QIIME 2™ is a next-generation microbiome bioinformatics platform that is extensible, free, open source, and community developed.",opensource,webapp,public,ARS,Summers_Katie,NA
100,R  and R Studio,ots,"https://www.r-project.org/

R is a free software environment for statistical computing and graphics. It compiles and runs on a wide variety of UNIX platforms, Windows and MacOS.
",opensource,desktop,public,ARS,Summers_Katie,NA
101,Silva,ots,"https://www.arb-silva.de/

A comprehensive on-line resource for quality checked and aligned ribosomal RNA sequence data.

SILVA provides comprehensive, quality checked and regularly updated datasets of aligned small (16S/18S, SSU) and large subunit (23S/28S, LSU) ribosomal RNA (rRNA) sequences for all three domains of life (Bacteria, Archaea and Eukarya).

SILVA are the official databases of the software package ARB.",opensource,webapp,public,ARS,Summers_Katie,NA
102,Ribosomal Database Project,ots,"http://rdp.cme.msu.edu/

RDP provides quality-controlled, aligned and annotated Bacterial and Archaeal 16S rRNA sequences, and Fungal 28S rRNA sequences, and a suite of analysis tools to the scientific community. New to RDP release 11:

RDP tools have been updated to work with the new fungal 28S rRNA sequence collection.
A new Fungal 28S Aligner and updated Bacterial and Archaeal 16S Aligner. We optimized the parameters for these secondary-structure based Infernal aligners to provide improved handling for partial sequences.
Updated RDPipeline offers extended processing and analysis tools to process high-throughput sequencing data, including single-strand and paired-end reads.
Most of the RDP tools are now available as open source packages for users to incorporate in their local workflow.",opensource,webapp,public,ARS,Summers_Katie,NA
103,Excel,ots,Spreadsheet program.,commercial,webapp,private,ARS,Bretting_Peter,NA
104,Word,ots,Word processing program,commercial,webapp,private,ARS,Bretting_Peter,NA
105,PowerPoint,ots,Presentation software.,commercial,webapp,private,ARS,Bretting_Peter,NA
106,Outlook,ots,E-mail and file sharing program,commercial,webapp,private,ARS,Bretting_Peter,NA
107,Linux operating system (Ubuntu),ots,"This open source, frequently safety-hardened operating system is indispensable for the kinds of research we do in biological sequence analysis. The combination of multifactor authentication and explicit listings of hosts allowed to connect via SSH result in a very secure system, and the myriad of built-in utilities enable manipulation of data with ease.",opensource,other,private,ARS,Sparks_Michael,operating system
108,"PrimerPlex version 2.62 (PREMIER Biosoft, Palo Alto, CA, USA)",ots,Used for batch design of quantitative PCR primers.,commercial,desktop,private,ARS,Sparks_Michael,NA
109,Various laboratory-stationed analytical instruments having proprietary operational and quantification software.,ots,"There are many different ones in our labs. These come with complications, because company software development often lags Windows system updates be several to many years. These systems are thus prohibited by USDA CEC from being connected to USDA-Net. This creates a huge need to have a team of analytical, engineering, software, security, and procurement agents working together to set minimum specifications and possibly even write and/or approve new code to automate data acquisition from systems now running on local area networks, and that must be manually scanned for security and incorporated into our databases.",commercial,other,private,ARS,Strickland_Tim,Vendor developed operational software on stand-alone desktop systems.
110,SAS,ots,Do not generate large data sets. Data sets are usually stored in Excel and transferred to SAS for manipulation.,commercial,desktop,hybrid,ARS,Hogsette_Jerry,NA
111,GeneMapper,ots,DNA fragment analysis tool,private,desktop,private,ARS,fang_david,NA
112,SnapGene,ots,"This commercial software allows us the ability to analyze DNA, RNA, and protein sequence. It also has the capabilities of importing plasmid sequence, maps, and assists in assay design. https://www.snapgene.com/",commercial,desktop,private,ARS,Redel_Bethany,NA
113,SAS,ots,Statistical analysis software. https://www.sas.com/en_us/software/stat.html,commercial,desktop,private,ARS,Redel_Bethany,NA
114,A Plasmid Editor (ApE),ots,"ApE is an integrated program for plasmid construction and visualization. It includes a sequence editor, a linear text map identifying sequence features such as restriction sites and ORFs, and a graphic view that highlights sites and features in your sequences. https://jorgensen.biology.utah.edu/wayned/ape/",opensource,webapp,public,ARS,Redel_Bethany,NA
115,AutoCad,ots,Computer Aid Design software,commercial,desktop,private,ARS,Kornecki_Ted,NA
116,SAS,ots,Statistical analyses software,commercial,desktop,private,ARS,Kornecki_Ted,NA
117,MS OFFICE,ots,"Extensively used software including MS Word, Excel, Power Point, Outlook, One Note",commercial,desktop,private,ARS,Kornecki_Ted,NA
118,One Drive,ots,Document and data cloud storage,commercial,networked,private,ARS,Kornecki_Ted,NA
119,BOX,ots,Cloud Storage/Sharing Tool,commercial,webapp,hybrid,ARS,Kornecki_Ted,NA
120,github,ots,data sharing service,freeware,webapp,public,ARS,Gleason_Sean,NA
121,Terrestrial Regional Ecosystem Exchange Simulator (TREES) model,ots,"Physiological plant growth model (C++)
https://github.com/dscottmackay",opensource,desktop,public,ARS,Gleason_Sean,NA
122,Linux operating systems,ots,"Linux operating systems to integrate semi-automated lab equipment (cameras, microscopes, microscope stages, physiology equipment, etc) with other existing open source software (R, Python, Arduino, FreeCAD, Cura 3d print app, Atom, bash, etc).  Raspian OS is used to run equipment in the lab via custom-built Python, Bash, and R scripts).  Ubuntu OS or Lubuntu OS is used (off network) as our main science/engineering platforms and are used to run/write models, analyze data, create figures, and write manuscripts.",opensource,desktop,hybrid,ARS,Gleason_Sean,NA
123,Office 365,ots,"Microsoft Word, Excel, Teams, Publisher, Power Point, 
",commercial,desktop,public,ARS,Campbell_Paul,NA
124,Microsoft Visio,ots,Visio is used to make diagrams and field maps,commercial,desktop,public,ARS,Campbell_Paul,NA
125,Farm Works,ots,Farm works is used for GPS farming data,commercial,desktop,public,ARS,Campbell_Paul,NA
126,Praxidyn Intersect,ots,Software used for pesticide mixing system and records,commercial,webapp,public,ARS,Campbell_Paul,NA
127,SAS,ots,SAS,commercial,desktop,public,ARS,Campbell_Paul,NA
128,pix4D,ots,Pix4D is used for Drone  image processing,commercial,desktop,public,ARS,Campbell_Paul,NA
129,Agisoft MetaShape,ots,Agisoft MetaShape drone image processing,commercial,desktop,public,ARS,Campbell_Paul,NA
130,Loggernet,ots,Loggernet used to communicate with data loggers,commercial,desktop,public,ARS,Campbell_Paul,NA
131,Mission Planner,ots,Mission Planner is used to build flight plans for drones,commercial,desktop,public,ARS,Campbell_Paul,NA
132,ArcGIS Pro,ots,ArcGIS Pro- used for field GPS mapping and interpolation.,commercial,desktop,public,ARS,Campbell_Paul,NA
133,PathFinder,ots,PathFinder used for GPS mapping,commercial,desktop,public,ARS,Campbell_Paul,NA
134,", R + RStudio",ots,Used for statics,opensource,desktop,public,ARS,Campbell_Paul,NA
135,LI7700 1.0.5,ots,Licor product To connect to and adjust parameters for LI7700 methane analyzer,commercial,desktop,public,ARS,Campbell_Paul,NA
136,LI7X00 A RS DS 8.8.36,ots,Licor product To connect to and set parameters for Eddy Covariance flux tower,commercial,desktop,public,ARS,Campbell_Paul,NA
137,EddyPro,ots,Licor product to Processes Eddy Covariance data,commercial,desktop,public,ARS,Campbell_Paul,NA
138,GHG File Transfer 2.0.1,ots,Utility for downloading data from Eddy Covariance tower,commercial,desktop,public,ARS,Campbell_Paul,NA
139,Blueprint Utility 1.1.2,ots,Licor product Utility for connecting to and adjusting parameters for biomet sensors on Eddy Covariance tower,commercial,desktop,public,ARS,Campbell_Paul,NA
140,Tovi,ots,Licor product Post processing of Eddy Covariance data,commercial,desktop,public,ARS,Campbell_Paul,NA
141,Excel,ots,Statistical analysis of data given through phis,commercial,desktop,private,FSIS,Johnson_Molly,NA
142,ArcGIS and ArcGIS Pro,ots,"We use the ArcGIS software suite and are in the process of transitioning to ArcGIS Pro.  In the agency, the software is available for download on desktop/laptops, or available via the web using the Citrix interface.  All FS corporate data are stored as ArcGIS geodatabases.",commercial,desktop,private,FS,Daugherty_Caine,NA
143,R (stat program),ots,"R is a free software environment for statistical computing and graphics. 
https://www.r-project.org/",opensource,desktop,private,APHIS,Hong_Steve,NA
144,MATLAB,ots,computational software including neural network models,commercial,desktop,private,ARS,King_Bradley,NA
145,SAS,ots,Statistical analysis software,commercial,desktop,private,ARS,King_Bradley,NA
146,SigmaPlot,ots,Graphical software,commercial,desktop,private,ARS,King_Bradley,NA
147,ArcMap and Google earth,ots,ArcMap for Cultural Resource Maps.,owned,other,private,NRCS,Miranda _Valvina,loaded on my labtop.
148,commercially available software programs,ots,"Programs such as R and Python to assist with data analysis and creating figures for publications and presentations.  Also trying to use GitHub as a repository for data and data analyses to promote more reproducibility.  Still use SAS, but trying to transition to open source software when possible.

Still use licensed software primarily associated with Microsoft.",opensource,desktop,public,ARS,Balkcom_Kip,NA
